cycle,mean_amplitude,load,median_strain,pzt_amplitude_std,pzt_energy_mean,pzt_rms_mean,strain_mean_of_means,strain_std_of_means,rho_micro,D_macro,rho_smooth,D_smooth,RUL,coupon_id
0,1586.786,0.0,0.0023001816488593674,235.7157,396967580.0,439.62802,0.0019820269436824425,0.0015108956715893926,0.0,1.0,0.0,1.0,300000,L3_S13
1,1817.9579,0.5,0.0023001816488593674,432.59955,589382850.0,516.62897,0.0019820269436824425,0.0015108956715893926,0.0,1.0,0.0,1.0,299999,L3_S13
3,1436.5781,0.0,0.003731240675585357,408.9234,337786850.0,395.53802,0.002956175467478739,0.0017376358535872332,0.09466171,0.6164656340477193,0.0540924072265625,0.7808375051701253,299997,L3_S13
20,1391.0469,4.25,0.0020035284233807953,435.2781,317020400.0,380.8656,0.0017697125856328032,0.0013739331977030119,0.123355746,1.0,0.09103285471598307,0.8977241690793918,299980,L3_S13
100,1289.5752,4.253,0.002091908759090399,405.92368,276009660.0,354.62708,0.002197687080029484,0.001796762402220502,0.18730366,1.0,0.14072101346908078,0.9505116947158347,299900,L3_S13
1000,1130.0762,4.26,0.0019068082709862405,381.2803,216941810.0,310.2267,0.006108563809221016,0.008570511810711973,0.2878207,1.0,0.21543831295437282,0.9756486116855695,299000,L3_S13
10000,946.6658,4.26,0.0010008814180034766,344.5718,160738190.0,261.94098,0.0011457495627380692,0.0013503134130982304,0.4034068,1.0,0.3101625893059678,0.9879201774503219,290000,L3_S13
20000,852.7161,4.258,0.002398707448338914,370.34058,132250400.0,231.18694,0.006153276262202,0.008271362133553619,0.4626143,0.958925462316059,0.3866873685051413,0.9733659675005742,280000,L3_S13
30000,820.8116,4.267,0.004370268755086157,344.26904,129045780.0,227.24559,0.010663440492358284,0.0143134409320416,0.48272067,0.5263249877212691,0.43479798684614746,0.7494080598224879,270000,L3_S13
40000,767.4621,4.257,0.004867962663423407,365.86075,110605820.0,207.91298,0.010411527130407808,0.013460513069935644,0.5163418,0.4725142339612274,0.47560975139092143,0.610825812666119,260000,L3_S13
50000,803.7724,4.255,0.005103380095639358,433.08353,106994664.0,205.40202,0.010887696374730296,0.014124482847553367,0.49345887,0.45071729045320064,0.4845386690550684,0.5307324434692318,250000,L3_S13
60000,756.2757,4.253,0.00023558429140384664,403.60703,99701920.0,196.38979,0.00402872179378752,0.006854618229970155,0.5233915,1.0,0.5039698210682478,0.7654235193605659,240000,L3_S13
70000,693.988,4.258,-7.370585672907331e-09,352.05325,83412776.0,177.97296,-9.906800041522154e-09,5.6900257136746545e-09,0.56264555,0.0,0.533311269525177,0.3826650362326355,230000,L3_S13
80000,606.37964,4.253,-8.131064127016653e-09,281.51727,67156184.0,157.9818,-1.1479736917697613e-08,6.749244721849882e-09,0.61785674,0.0,0.5755865855188748,0.19132083939336614,220000,L3_S13
